id,num_layers,layer1,layer2,layer3,layer4,layer5,lr,batch_size,score
19,2,441,232,104,93,27,0.0009083234137803898,64,0.9285803353856787
25,3,304,250,118,52,48,0.0009959893317224291,64,0.966465515369806
23,2,306,239,149,71,38,0.0009796203011185223,64,0.9534205207097386
7,2,406,271,182,56,30,0.0009629352904800649,64,0.9241786055004036
4,2,381,203,102,51,45,0.0009541412472793497,64,0.9434885561773089
21,4,374,208,121,60,33,0.0009527380399048013,64,0.9669595482732308
28,3,354,206,139,54,27,0.0009310363627353134,64,0.9551648129678688
6,3,388,229,186,64,49,0.0009459603465737734,64,0.9577402279599658
11,2,412,284,165,56,49,0.0009163698297149974,64,0.9290973901910864
24,2,364,293,165,63,44,0.0009431655547149774,64,0.9409376580783402
29,3,406,272,132,58,25,0.0009560717321028694,64,0.9622645042023996
13,3,343,264,129,50,49,0.0009199516367462407,64,0.9611589603016872
9,3,377,236,175,81,41,0.0009393353623069839,64,0.955862486099031
12,4,425,293,103,80,26,0.000930852942692773,64,0.967760964004758
18,5,453,203,129,90,30,0.000955075626510725,64,0.9693855046179158
30,3,445,258,121,99,47,0.000962296281389053,64,0.9618016545478232
32,3,426,213,185,74,34,0.0009504107367245853,64,0.950457919906631
5,3,408,292,103,83,32,0.000976370099513149,64,0.9672962332867412
31,5,351,244,112,63,43,0.0009674153014246864,64,0.9564903311455083
14,5,431,244,173,72,39,0.0009909755015889401,64,0.9628125836248108
16,5,314,261,146,86,42,0.0009199839420177142,64,0.9565324334698042
8,2,490,242,192,95,41,0.000993644058679946,64,0.9229048711045684
17,5,391,253,144,50,42,0.0009540109557088386,64,0.9625760324553693
20,5,303,296,196,67,32,0.0009268641733448867,64,0.958088281389124
2,5,466,248,200,63,28,0.0009487856656524148,64,0.9669386641169494
26,5,439,228,180,94,41,0.0009450845027142732,64,0.9599207948950225
10,5,362,295,151,76,46,0.000917300740157905,64,0.9567847324471472
22,4,465,291,137,79,47,0.0009322001766387326,64,0.9640162444191478
15,5,500,294,165,58,41,0.0009777397182295902,64,0.964849161557859
1,3,445,297,108,66,28,0.0009495435087091941,64,0.9668724591618159
27,5,472,273,141,92,45,0.0009426299378713854,64,0.9624101828949255
3,5,455,297,198,50,47,0.0009445387194054801,64,0.9660328984311746
36,2,334,221,121,84,31,0.0009268009943955512,64,0.9277894812005514
