id,num_layers,layer1,layer2,layer3,layer4,layer5,lr,batch_size,score
23,2,306,239,149,71,38,0.0009796203011185223,64,0.9310964539962747
4,2,381,203,102,51,45,0.0009541412472793497,64,0.9374848700205267
19,2,441,232,104,93,27,0.0009083234137803898,64,0.9378929840864925
21,4,374,208,121,60,33,0.0009527380399048013,64,0.8218597463469592
28,3,354,206,139,54,27,0.0009310363627353134,64,0.8633320717131101
24,2,364,293,165,63,44,0.0009431655547149774,64,0.9222967907922517
8,2,490,242,192,95,41,0.000993644058679946,64,0.9330780204336748
25,3,304,250,118,52,48,0.0009959893317224291,64,0.8943391637675688
31,5,351,244,112,63,43,0.0009674153014246864,64,0.8239592731392515
13,3,343,264,129,50,49,0.0009199516367462407,64,0.8759007146235397
6,3,388,229,186,64,49,0.0009459603465737734,64,0.8889451038529816
32,3,426,213,185,74,34,0.0009504107367245853,64,0.8743300882678089
16,5,314,261,146,86,42,0.0009199839420177142,64,0.7988005226236612
7,2,406,271,182,56,30,0.0009629352904800649,64,0.9268979723784961
18,5,453,203,129,90,30,0.000955075626510725,64,0.8031549741189501
29,3,406,272,132,58,25,0.0009560717321028694,64,0.8777272540156408
9,3,377,236,175,81,41,0.0009393353623069839,64,0.8774509048273885
11,2,412,284,165,56,49,0.0009163698297149974,64,0.9280566886498982
26,5,439,228,180,94,41,0.0009450845027142732,64,0.7872439109017548
5,3,408,292,103,83,32,0.000976370099513149,64,0.8887556054567651
30,3,445,258,121,99,47,0.000962296281389053,64,0.8989418604733741
17,5,391,253,144,50,42,0.0009540109557088386,64,0.8132596574609432
14,5,431,244,173,72,39,0.0009909755015889401,64,0.7958822963899482
20,5,303,296,196,67,32,0.0009268641733448867,64,0.7915051553209765
2,5,466,248,200,63,28,0.0009487856656524148,64,0.8160593498283064
10,5,362,295,151,76,46,0.000917300740157905,64,0.7930201748369117
12,4,425,293,103,80,26,0.000930852942692773,64,0.8384450673050912
27,5,472,273,141,92,45,0.0009426299378713854,64,0.7989353606357643
22,4,465,291,137,79,47,0.0009322001766387326,64,0.8473945735591435
15,5,500,294,165,58,41,0.0009777397182295902,64,0.8154558836460466
1,3,445,297,108,66,28,0.0009495435087091941,64,0.8999721109796609
3,5,455,297,198,50,47,0.0009445387194054801,64,0.8277469244135192
36,2,334,221,121,84,31,0.0009268009943955512,64,0.9309343897263722
34,3,386,254,127,67,46,0.0009096405102593459,64,0.8647076040995882
39,5,337,216,143,57,44,0.0009587407922609922,64,0.7925731373456637
46,2,302,300,137,96,44,0.0009320251274480257,64,0.9275141562877871
33,4,456,251,136,51,30,0.0009200853011440759,64,0.8656020036560956
37,4,394,243,143,57,34,0.0009235189511384217,64,0.8454885343478612
50,2,371,211,196,78,27,0.000965201053451267,64,0.9348809332436496
47,4,402,208,108,70,44,0.000996979650449647,64,0.8485576550652146
40,2,446,270,128,86,27,0.000995224622835758,64,0.9440906958410977
44,3,340,295,113,77,37,0.000980648736633557,64,0.8808998501185326
54,2,305,281,101,68,49,0.0009792184757882291,64,0.9232537947461245
42,4,303,278,185,50,27,0.0009413534433507192,64,0.8051681864211393
53,3,356,202,131,75,27,0.0009268063817554747,64,0.8668234575646484
51,3,399,239,105,70,30,0.0009316735146885602,64,0.8840021872066536
35,4,475,268,162,99,42,0.0009234640434871038,64,0.8273658160354451
41,4,444,268,114,79,33,0.0009107730685077716,64,0.8378394688810542
52,3,385,212,169,89,43,0.0009807567697733362,64,0.869678565475682
43,3,361,300,175,76,30,0.0009115558180592273,64,0.8725622056665894
49,4,366,223,169,63,34,0.0009199215898263314,64,0.7929693354355736
45,4,482,261,140,56,31,0.0009652050199489417,64,0.8627386265252147
57,3,352,218,169,96,26,0.0009779743450254712,64,0.8555586550967164
55,5,339,212,164,99,50,0.0009328093551673792,64,0.779544631882561
38,3,448,270,198,56,35,0.000903913779859691,64,0.8753400009933808
56,3,498,219,118,70,34,0.000910687773458156,64,0.8812734011991897
48,4,355,300,179,99,42,0.0009867613842250331,64,0.8074684133197353
63,3,424,200,122,83,35,0.0009500899619557226,64,0.8801169968732645
58,3,376,255,168,60,26,0.0009714824451968812,64,0.886435623286673
61,2,465,253,173,51,26,0.0009691703419051643,64,0.9444214171635344
62,3,335,233,135,75,43,0.0009401082151920901,64,0.8528511201846127
59,4,499,208,187,78,50,0.000943017141185157,64,0.8555533477834725
60,5,437,258,101,75,35,0.0009171517605021366,64,0.8195269174875245
64,3,361,240,163,93,40,0.0009956539729424284,64,0.9122399997643829
66,2,318,297,165,91,36,0.0009159467730757831,64,0.9314392272439271
68,2,331,277,165,86,37,0.0009176275895206475,64,0.93106238378241
72,2,413,230,148,77,37,0.0009164754218683273,64,0.9448395202199538
65,4,443,278,193,91,33,0.0009972353768694514,64,0.8269647482199042
67,4,376,288,138,85,36,0.0009165178713957091,64,0.822396852450391
74,2,469,237,135,65,37,0.0009749576811189757,64,0.9344384825957763
70,4,398,265,121,84,48,0.0009994311057334457,64,0.8325119132359406
69,5,355,272,192,98,50,0.0009052133221142186,64,0.757252446196624
71,4,460,212,134,97,27,0.000995943883787707,64,0.8586283926513547
80,2,428,247,173,69,38,0.0009503032488206497,64,0.9394144273578844
76,4,352,222,136,59,42,0.0009200447248467994,64,0.8214059287747515
81,4,300,215,156,95,39,0.0009350212755089992,64,0.7918447319146795
73,5,332,279,162,63,28,0.0009431260500853353,64,0.7895955391792226
79,2,445,295,101,84,34,0.0009964945328786328,64,0.9382703893667993
78,3,446,249,126,68,50,0.0009108139208734168,64,0.8932079608954601
89,2,389,233,190,76,46,0.000954424675780288,64,0.930952936639257
75,3,435,256,174,51,25,0.000962752658853748,64,0.8984164966021038
83,5,352,271,100,67,45,0.0009598164198713661,64,0.7979609131947822
92,2,402,281,188,67,44,0.0009304403284258316,64,0.9288949140141121
77,4,474,257,121,84,36,0.0009490809279829014,64,0.8349507395978207
93,3,385,234,108,54,47,0.0009830677590596227,64,0.8786045321674998
91,5,317,245,108,92,39,0.0009019741387398084,64,0.7655000732254305
84,5,453,266,152,97,47,0.0009987591691222682,64,0.8080286246269117
90,5,366,262,121,79,41,0.0009045388059845719,64,0.7816652756785367
86,5,448,254,151,71,44,0.0009584428027082132,64,0.8153601734983233
87,5,490,231,181,91,34,0.0009629675358688655,64,0.8028110094823108
85,3,415,279,185,83,31,0.0009359422031985154,64,0.863156405466042
97,2,459,251,140,77,49,0.0009248426495383769,64,0.9406027817421077
82,4,500,293,187,86,40,0.0009113095370290191,64,0.8436613856761915
88,3,462,299,150,100,33,0.000984626806660109,64,0.8813159361760758
96,4,456,242,191,64,33,0.0009963788417055833,64,0.8621857559828228
