,centers,hist
0,0.04363323129985824,0.022450477912670574
1,0.1308996938995747,0.020988100202860085
2,0.2181661564992912,0.01942685794759911
3,0.30543261909900765,0.017625898188055433
4,0.39269908169872414,0.018277980266547384
5,0.4799655442984406,0.01646793647526247
6,0.5672320068981571,0.01554282877610327
7,0.6544984694978736,0.015991428543591465
8,0.74176493209759,0.015648153077458638
9,0.8290313946973066,0.01408549775059347
10,0.9162978572970231,0.013855116612267042
11,1.0035643198967394,0.014029227220640794
12,1.0908307824964558,0.01414525049271362
13,1.1780972450961724,0.013853552140133828
14,1.265363707695889,0.014410857487458854
15,1.3526301702956054,0.01465340113494994
16,1.4398966328953218,0.014664554307254461
17,1.5271630954950384,0.01611870592165483
18,1.6144295580947547,0.016635536860888332
19,1.7016960206944711,0.018207831354767817
20,1.7889624832941877,0.020012222859635963
21,1.876228945893904,0.021726076848149756
22,1.9634954084936207,0.024897362795859367
23,2.050761871093337,0.028608845831114667
24,2.138028333693054,0.031401680923115655
25,2.2252947962927703,0.038302315168505
26,2.3125612588924866,0.042509029334186856
27,2.399827721492203,0.052801439164382895
28,2.4870941840919194,0.06315925402311585
29,2.574360646691636,0.07433866908600088
30,2.6616271092913526,0.0915473578829184
31,2.748893571891069,0.10887161575032168
32,2.8361600344907854,0.13023120238455546
33,2.923426497090502,0.1577512765446396
34,3.0106929596902186,0.19062739675304438
35,3.097959422289935,0.22826809160972913
36,3.1852258848896513,0.2705835301341416
37,3.272492347489368,0.32144300517961955
38,3.359758810089084,0.3643822138835971
39,3.447025272688801,0.4086774666591696
40,3.5342917352885173,0.43893990906824787
41,3.6215581978882336,0.47288643101682865
42,3.7088246604879505,0.4878316819048874
43,3.7960911230876664,0.4969237883410077
44,3.883357585687383,0.4947093032698656
45,3.9706240482870996,0.4880401099665059
46,4.057890510886816,0.47360760220339704
47,4.145156973486532,0.4590226845744075
48,4.23242343608625,0.44764998150280605
49,4.319689898685965,0.4354920143540175
50,4.4069563612856815,0.4175222855645562
51,4.494222823885399,0.4041036566774557
52,4.581489286485115,0.3868036228946957
53,4.6687557490848315,0.35691917713973903
54,4.756022211684548,0.3349423810155311
55,4.843288674284264,0.2967758216547146
56,4.930555136883981,0.26125170619373855
57,5.017821599483698,0.22863397622152903
58,5.105088062083414,0.19482220074377662
59,5.19235452468313,0.1623922074275527
60,5.279620987282847,0.1351789716729504
61,5.366887449882563,0.11360893830337793
62,5.45415391248228,0.09388548671942737
63,5.541420375081996,0.07660765834759041
64,5.6286868376817125,0.06631090836889579
65,5.715953300281429,0.054886729117427355
66,5.803219762881146,0.04616020449204893
67,5.890486225480862,0.03988752917419425
68,5.977752688080578,0.035012230272357184
69,6.065019150680295,0.031712657609724075
70,6.152285613280012,0.028670112578525024
71,6.239552075879728,0.02393985538348975
