,k,k_uncert,cpu_time,runtime,fluxQ1,fluxQ2,fluxQ3,fluxQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00269,0.987742,0.00025,1.87526E+03,9.48684E+01,2.56171e+19,2.51344e+19,2.61123e+19,2.59737e+19,8.48744e+16,8.49585e+16,8.48528e+16,8.48102e+16,2750780.0,2753500.0,2750080.0,2748700.0,0.00165,0.00166,0.00168,0.00169,0.00081,0.00081,0.00077,0.00083,0.00081,0.00081,0.00077,0.00083,1.09789764,4.58477317,5.86703924,4.95816649,2.55374965,2.98780254,0.861753701,0.680758038
sample_00270,0.995392,0.00024,1.88438E+03,9.47536E+01,2.57462e+19,2.62704e+19,2.55031e+19,2.53558e+19,8.47652e+16,8.49448e+16,8.48364e+16,8.47736e+16,2747240.0,2753060.0,2749540.0,2747510.0,0.00147,0.0015,0.00154,0.00151,0.00075,0.00077,0.00079,0.00081,0.00075,0.00077,0.00079,0.00081,0.995732739,2.90940675,1.10130301,2.32316832,4.05901853,1.44611648,2.56637886,5.16942087
sample_00271,0.988746,0.00025,1.87178E+03,9.48799E+01,2.50244e+19,2.58804e+19,2.6472e+19,2.53553e+19,8.49328e+16,8.48896e+16,8.47766e+16,8.47716e+16,2752670.0,2751270.0,2747610.0,2747450.0,0.00146,0.00143,0.00149,0.00149,0.00078,0.00075,0.00076,0.00079,0.00078,0.00075,0.00076,0.00079,2.58727806,4.18609821,1.42044209,4.59889755,2.31491502,4.33386706,2.54072654,0.840601173
sample_00272,0.985509,0.00024,1.88404E+03,9.43829E+01,2.62746e+19,2.5465e+19,2.59361e+19,2.58146e+19,8.48293e+16,8.49188e+16,8.47316e+16,8.49315e+16,2749320.0,2752220.0,2746150.0,2752630.0,0.0015,0.00151,0.00155,0.00143,0.00074,0.00079,0.00079,0.0008,0.00074,0.00079,0.00079,0.0008,0.174797353,3.0364098,4.65576848,5.0744456,3.39702517,0.377271602,1.83313104,4.48666283
sample_00273,0.992112,0.00025,1.88179E+03,9.47019E+01,2.54485e+19,2.59879e+19,2.59153e+19,2.57965e+19,8.48222e+16,8.49356e+16,8.48676e+16,8.49114e+16,2749090.0,2752760.0,2750560.0,2751970.0,0.00145,0.00148,0.00148,0.00144,0.00078,0.00077,0.00081,0.00077,0.00078,0.00077,0.00081,0.00077,5.38796862,3.45206133,3.92966389,2.97487773,3.1086215,0.162576711,0.58788497,4.89182619
sample_00274,0.987319,0.00024,1.83786E+03,9.25105E+01,2.61846e+19,2.56903e+19,2.53741e+19,2.57733e+19,8.48177e+16,8.49334e+16,8.4887e+16,8.48168e+16,2748940.0,2752690.0,2751190.0,2748910.0,0.00155,0.00161,0.00162,0.00164,0.0008,0.00079,0.00083,0.00079,0.0008,0.00079,0.00083,0.00079,5.2595861,1.80756508,5.3212387,1.79779845,5.45930349,1.52714447,5.42077113,2.22176021
sample_00275,0.991076,0.00024,1.83711E+03,9.30826E+01,2.70095e+19,2.52794e+19,2.54502e+19,2.57791e+19,8.49695e+16,8.47211e+16,8.48842e+16,8.48647e+16,2753860.0,2745810.0,2751090.0,2750460.0,0.00136,0.00132,0.00128,0.00129,0.0008,0.00079,0.00079,0.00078,0.0008,0.00079,0.00079,0.00078,0.17971222,1.15905604,5.87940714,0.249613151,4.49790048,0.316039901,4.81837084,2.51045284
sample_00276,0.998748,0.00024,1.85980E+03,9.41514E+01,2.4852e+19,2.55954e+19,2.6284e+19,2.59067e+19,8.49408e+16,8.48036e+16,8.47982e+16,8.48696e+16,2752930.0,2748480.0,2748310.0,2750620.0,0.00121,0.00117,0.00123,0.00126,0.00075,0.00075,0.00079,0.00078,0.00075,0.00075,0.00079,0.00078,2.75886514,5.61364774,3.78940365,2.53483028,3.34903584,5.15427523,4.9405334,0.827654174
sample_00277,0.994897,0.00023,1.84870E+03,9.29310E+01,2.62172e+19,2.64511e+19,2.58535e+19,2.5266e+19,8.50366e+16,8.48798e+16,8.48585e+16,8.48247e+16,2756030.0,2750950.0,2750260.0,2749160.0,0.00118,0.00112,0.00121,0.00121,0.00082,0.00079,0.00081,0.00082,0.00082,0.00079,0.00081,0.00082,0.00345227592,5.955223,2.19195837,4.09586073,1.53700948,4.20056001,0.93055257,3.30682958
sample_00278,0.993497,0.00025,1.84350E+03,9.29253E+01,2.49796e+19,2.58351e+19,2.59525e+19,2.52804e+19,8.49427e+16,8.48e+16,8.4857e+16,8.48466e+16,2752990.0,2748370.0,2750210.0,2749880.0,0.00135,0.00142,0.00141,0.00136,0.00077,0.0008,0.00076,0.00078,0.00077,0.0008,0.00076,0.00078,5.2468365,4.28442688,1.54640282,4.25508933,4.40442481,4.87349994,1.60599802,5.58240515
sample_00279,0.982368,0.00025,1.91724E+03,9.62671E+01,2.58915e+19,2.61631e+19,2.59837e+19,2.56905e+19,8.48903e+16,8.49876e+16,8.4798e+16,8.47327e+16,2751290.0,2754450.0,2748300.0,2746190.0,0.00145,0.00148,0.00149,0.00146,0.00081,0.00081,0.00079,0.00082,0.00081,0.00081,0.00079,0.00082,5.40106616,4.77823252,2.72249246,5.82522122,4.52528928,1.59520413,1.09606023,1.60116695
sample_00280,0.982903,0.00024,1.91972E+03,9.66134E+01,2.62833e+19,2.59161e+19,2.52747e+19,2.52747e+19,8.48201e+16,8.48851e+16,8.48232e+16,8.49132e+16,2749020.0,2751130.0,2749120.0,2752040.0,0.00151,0.00152,0.00151,0.0015,0.00082,0.0008,0.0008,0.00083,0.00082,0.0008,0.0008,0.00083,2.08928612,0.817992559,4.46302999,3.57915407,1.54470737,0.392687443,1.58891359,1.70685224
sample_00281,0.99314,0.00026,1.92617E+03,9.59581E+01,2.57255e+19,2.49949e+19,2.57144e+19,2.61006e+19,8.47757e+16,8.48992e+16,8.48543e+16,8.49035e+16,2747580.0,2751580.0,2750120.0,2751720.0,0.00153,0.00153,0.00157,0.00155,0.00073,0.00079,0.00083,0.00082,0.00073,0.00079,0.00083,0.00082,5.7189766,2.43493673,5.77581329,0.755904978,3.53653055,2.1874643,5.50707868,4.59188117
sample_00282,0.994044,0.00023,1.92574E+03,9.61779E+01,2.55859e+19,2.52526e+19,2.4614e+19,2.49779e+19,8.48636e+16,8.4797e+16,8.48526e+16,8.48262e+16,2750430.0,2748270.0,2750070.0,2749210.0,0.00145,0.00147,0.00148,0.00145,0.0008,0.00079,0.00078,0.00079,0.0008,0.00079,0.00078,0.00079,6.15857081,6.16687494,0.421959668,2.44012876,2.38102579,1.11367174,1.37245421,5.61160049
sample_00283,0.992115,0.00023,1.92974E+03,9.68137E+01,2.57258e+19,2.57562e+19,2.53649e+19,2.62225e+19,8.48003e+16,8.483e+16,8.49565e+16,8.48951e+16,2748370.0,2749340.0,2753440.0,2751450.0,0.0014,0.0014,0.00136,0.00139,0.00082,0.00079,0.00078,0.00078,0.00082,0.00079,0.00078,0.00078,0.0798683631,4.23270401,3.36266994,4.00359972,5.20542738,0.0998703532,6.22663128,0.546495963
