,k,k_uncert,cpu_time,runtime,fluxQ1,fluxQ2,fluxQ3,fluxQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00151,0.990843,0.00024,2.57828E+03,1.29637E+02,2.57822e+19,2.5989e+19,2.55366e+19,2.51399e+19,8.48674e+16,8.49477e+16,8.48331e+16,8.48997e+16,2750550.0,2753150.0,2749440.0,2751600.0,0.00169,0.00168,0.0017,0.00165,0.00081,0.00081,0.00076,0.00078,0.00081,0.00081,0.00076,0.00078,0.814128616,3.02632458,1.04943948,1.79243497,2.29167292,2.43947618,2.49015779,4.00653926
sample_00152,0.996407,0.00024,2.58723E+03,1.30020E+02,2.58277e+19,2.67523e+19,2.62867e+19,2.55573e+19,8.50046e+16,8.49524e+16,8.48265e+16,8.48514e+16,2754990.0,2753300.0,2749220.0,2750030.0,0.00143,0.00143,0.00135,0.0014,0.00081,0.00082,0.00081,0.00083,0.00081,0.00082,0.00081,0.00083,3.97207596,1.11184119,3.13372008,2.67807154,4.81060367,3.25888066,1.21411867,0.723340209
sample_00153,0.998768,0.00024,2.58839E+03,1.29943E+02,2.54924e+19,2.61469e+19,2.6303e+19,2.52424e+19,8.48422e+16,8.48361e+16,8.48919e+16,8.4776e+16,2749730.0,2749530.0,2751340.0,2747590.0,0.00139,0.00142,0.00141,0.00136,0.00077,0.00076,0.00079,0.00079,0.00077,0.00076,0.00079,0.00079,4.38138173,0.518341664,1.14407707,3.65968271,3.89744342,4.76382946,1.90626011,5.36298082
sample_00154,0.985526,0.00024,2.57009E+03,1.29183E+02,2.55589e+19,2.57394e+19,2.56163e+19,2.54513e+19,8.48396e+16,8.48355e+16,8.48749e+16,8.47949e+16,2749650.0,2749520.0,2750790.0,2748200.0,0.00148,0.00148,0.00146,0.00147,0.00081,0.00078,0.00082,0.00079,0.00081,0.00078,0.00082,0.00079,4.44630521,2.05663268,3.85006871,1.32480119,2.21516974,6.24474285,4.57764152,2.45723187
sample_00155,0.997641,0.00023,2.58182E+03,1.29648E+02,2.51606e+19,2.65653e+19,2.57598e+19,2.48321e+19,8.48687e+16,8.484e+16,8.47849e+16,8.48087e+16,2750590.0,2749660.0,2747870.0,2748640.0,0.00155,0.00157,0.00151,0.00152,0.00078,0.00078,0.00078,0.0008,0.00078,0.00078,0.00078,0.0008,2.41077413,1.94466288,1.97373508,3.14707082,3.88924293,2.65239123,0.393543362,3.17167524
sample_00156,0.985113,0.00023,2.57100E+03,1.29361E+02,2.59088e+19,2.6264e+19,2.5584e+19,2.53863e+19,8.48472e+16,8.4971e+16,8.49345e+16,8.48693e+16,2749900.0,2753910.0,2752720.0,2750610.0,0.00131,0.00135,0.00132,0.0013,0.0008,0.00081,0.00081,0.0008,0.0008,0.00081,0.00081,0.0008,3.00800877,1.28059096,2.81240939,4.65675659,5.43585452,2.33666611,2.94778274,1.42581063
sample_00157,0.991346,0.00025,2.57432E+03,1.29398E+02,2.6132e+19,2.5904e+19,2.65464e+19,2.57465e+19,8.49037e+16,8.48367e+16,8.49636e+16,8.48405e+16,2751730.0,2749550.0,2753670.0,2749680.0,0.00166,0.00164,0.00168,0.00167,0.00082,0.00074,0.00078,0.00078,0.00082,0.00074,0.00078,0.00078,5.00273313,0.213045014,6.13054469,1.3453041,3.44129592,5.62646033,1.85669456,0.59753975
sample_00158,0.975582,0.00025,2.55783E+03,1.28821E+02,2.53623e+19,2.52218e+19,2.53488e+19,2.54762e+19,8.48726e+16,8.47325e+16,8.48226e+16,8.49628e+16,2750720.0,2746180.0,2749100.0,2753640.0,0.00154,0.00154,0.00154,0.00156,0.00081,0.00074,0.0008,0.00079,0.00081,0.00074,0.0008,0.00079,4.04680306,2.67707335,6.14064322,5.27953398,5.35704342,0.855785937,3.04905056,4.22461814
sample_00159,0.99399,0.00025,2.57825E+03,1.29716E+02,2.52579e+19,2.50289e+19,2.57486e+19,2.68775e+19,8.48578e+16,8.48345e+16,8.48473e+16,8.48538e+16,2750240.0,2749480.0,2749900.0,2750110.0,0.00146,0.00143,0.00143,0.00149,0.00079,0.00076,0.00078,0.0008,0.00078,0.00076,0.00078,0.0008,2.11620533,3.39984912,1.02361784,6.10908984,2.88069276,2.3506533,5.31237459,5.49528088
sample_00160,0.987558,0.00023,2.58219E+03,1.29753E+02,2.67383e+19,2.57242e+19,2.53919e+19,2.59365e+19,8.47875e+16,8.49056e+16,8.49337e+16,8.47545e+16,2747960.0,2751790.0,2752700.0,2746890.0,0.00137,0.0014,0.00138,0.00136,0.00079,0.00076,0.00077,0.00078,0.00079,0.00076,0.00077,0.00078,0.0376078472,5.93793797,3.90095143,4.60538347,1.20423461,5.91460802,2.79474715,4.80165649
